[2024-12-04 22:10:22] Added parcel with ID: X020 with default status: COLLECTING, Fee: 12.0, Discount: 0.0, Total Price: 12.0
[2024-12-04 22:10:22] Added parcel with ID: X025 with default status: COLLECTING, Fee: 7.0, Discount: 5.0, Total Price: 7.0
[2024-12-04 22:10:22] Added parcel with ID: X036 with default status: COLLECTING, Fee: 23.0, Discount: 0.0, Total Price: 23.0
[2024-12-04 22:10:22] Added parcel with ID: X064 with default status: COLLECTING, Fee: 23.0, Discount: 0.0, Total Price: 23.0
[2024-12-04 22:10:22] Added parcel with ID: X086 with default status: COLLECTING, Fee: 18.0, Discount: 0.0, Total Price: 18.0
[2024-12-04 22:10:22] Added parcel with ID: X121 with default status: COLLECTING, Fee: 24.0, Discount: 0.0, Total Price: 24.0
[2024-12-04 22:10:22] Added parcel with ID: X198 with default status: COLLECTING, Fee: 28.0, Discount: 0.0, Total Price: 28.0
[2024-12-04 22:10:22] Added parcel with ID: X213 with default status: COLLECTING, Fee: 26.0, Discount: 0.0, Total Price: 26.0
[2024-12-04 22:10:22] Added parcel with ID: X214 with default status: COLLECTING, Fee: 26.0, Discount: 0.0, Total Price: 26.0
[2024-12-04 22:10:22] Added parcel with ID: X278 with default status: COLLECTING, Fee: 16.0, Discount: 0.0, Total Price: 16.0
[2024-12-04 22:10:22] Added parcel with ID: X285 with default status: COLLECTING, Fee: 13.0, Discount: 5.0, Total Price: 13.0
[2024-12-04 22:10:22] Added parcel with ID: X309 with default status: COLLECTING, Fee: 14.0, Discount: 0.0, Total Price: 14.0
[2024-12-04 22:10:22] Added parcel with ID: X316 with default status: COLLECTING, Fee: 30.0, Discount: 0.0, Total Price: 30.0
[2024-12-04 22:10:22] Added parcel with ID: X386 with default status: COLLECTING, Fee: 22.0, Discount: 0.0, Total Price: 22.0
[2024-12-04 22:10:22] Added parcel with ID: X475 with default status: COLLECTING, Fee: 11.0, Discount: 5.0, Total Price: 11.0
[2024-12-04 22:10:22] Added parcel with ID: X507 with default status: COLLECTING, Fee: 16.0, Discount: 0.0, Total Price: 16.0
[2024-12-04 22:10:22] Added parcel with ID: X521 with default status: COLLECTING, Fee: 18.0, Discount: 0.0, Total Price: 18.0
[2024-12-04 22:10:22] Added parcel with ID: X540 with default status: COLLECTING, Fee: 24.0, Discount: 0.0, Total Price: 24.0
[2024-12-04 22:10:22] Added parcel with ID: X552 with default status: COLLECTING, Fee: 20.0, Discount: 0.0, Total Price: 20.0
[2024-12-04 22:10:22] Added parcel with ID: X606 with default status: COLLECTING, Fee: 31.0, Discount: 0.0, Total Price: 31.0
[2024-12-04 22:10:22] Added parcel with ID: X682 with default status: COLLECTING, Fee: 22.0, Discount: 0.0, Total Price: 22.0
[2024-12-04 22:10:22] Added parcel with ID: X720 with default status: COLLECTING, Fee: 14.0, Discount: 0.0, Total Price: 14.0
[2024-12-04 22:10:22] Added parcel with ID: X733 with default status: COLLECTING, Fee: 22.0, Discount: 0.0, Total Price: 22.0
[2024-12-04 22:10:22] Added parcel with ID: X746 with default status: COLLECTING, Fee: 18.0, Discount: 0.0, Total Price: 18.0
[2024-12-04 22:10:22] Added parcel with ID: X780 with default status: COLLECTING, Fee: 12.0, Discount: 0.0, Total Price: 12.0
[2024-12-04 22:10:22] Added parcel with ID: X782 with default status: COLLECTING, Fee: 16.0, Discount: 0.0, Total Price: 16.0
[2024-12-04 22:10:22] Added parcel with ID: X857 with default status: COLLECTING, Fee: 22.0, Discount: 0.0, Total Price: 22.0
[2024-12-04 22:10:22] Added parcel with ID: X904 with default status: COLLECTING, Fee: 12.0, Discount: 0.0, Total Price: 12.0
[2024-12-04 22:10:22] Added parcel with ID: X919 with default status: COLLECTING, Fee: 26.0, Discount: 0.0, Total Price: 26.0
[2024-12-04 22:10:22] Added parcel with ID: X233 with default status: COLLECTING, Fee: 16.0, Discount: 0.0, Total Price: 16.0
